CAMPIONATI ITALIANI TRIATHLON CROSS - CAPOLIVERI | 01-05-2026 | Capoliveri (Livorno) | Toscana | CAMPIONATI ITALIANI TRIATHLON CROSS - CAPOLIVERI | https://www.myfitri.it/calendario/evento/113900
CAMPIONATO ITALIANO DUATHLON CROSS | 08-03-2026 | Spresiano (Treviso) | Veneto | CAMPIONATO ITALIANO DUATHLON CROSS JUNIOR - YOUTH B - YOUTH A | https://www.myfitri.it/calendario/evento/113808
CAMPIONATO ITALIANO DUATHLON CROSS | 08-03-2026 | Spresiano (Treviso) | Veneto | CAMPIONATO ITALIANO DUATHLON CROSS | https://www.myfitri.it/calendario/evento/113808
CAMPIONATO ITALIANO DUATHLON SPRINT ASSOLUTO / AGE GROUP / PARADUATHLON / COPPA CRONO | 21-03-2026 | Imola (Bologna) | Emilia-Romagna | CAMPIONATO ITALIANO DUATHLON SPRINT AGE GROUP - L'emozione di correre in pista - 8° EDIZIONE | https://www.myfitri.it/calendario/evento/113805
CAMPIONATO ITALIANO DUATHLON SPRINT ASSOLUTO / AGE GROUP / PARADUATHLON / COPPA CRONO | 21-03-2026 | Imola (Bologna) | Emilia-Romagna | CAMPIONATO ITALIANO DUATHLON SPRINT INDIVIDUALE ASSOLUTO - L'emozione di correre in pista - 8° Edizione | https://www.myfitri.it/calendario/evento/113805
CAMPIONATO ITALIANO DUATHLON SPRINT ASSOLUTO / AGE GROUP / PARADUATHLON / COPPA CRONO | 22-03-2026 | Imola (Bologna) | Emilia-Romagna | CAMPIONATO ITALIANO COPPA CRONO DUATHLON - L'emozione di correre in pista | https://www.myfitri.it/calendario/evento/113805
CAMPIONATO ITALIANO DUATHLON SPRINT ASSOLUTO / AGE GROUP / PARADUATHLON / COPPA CRONO | 22-03-2026 | Imola (Bologna) | Emilia-Romagna | CAMPIONATO ITALIANO DUATHLON A STAFFETTA 2+2 | https://www.myfitri.it/calendario/evento/113805
CAMPIONATO ITALIANO DUATHLON SPRINT ASSOLUTO / AGE GROUP / PARADUATHLON / COPPA CRONO | 22-03-2026 | Imola (Bologna) | Emilia-Romagna | CAMPIONATO ITALIANO PARADUATHLON - L'emozione di correre in pista | https://www.myfitri.it/calendario/evento/113805
CAMPIONATO ITALIANO DUATHLON SPRINT ASSOLUTO / AGE GROUP / PARADUATHLON / COPPA CRONO | 22-03-2026 | Imola (Bologna) | Emilia-Romagna | DUATHLON SPRINT DI IMOLA - L'emozione di correre in pista - 8° EDIZIONE - GARA BRONZE | https://www.myfitri.it/calendario/evento/113805
CHALLENGE CESENATICO 2026 | 09-05-2026 | Cesenatico (Forlì) | Emilia-Romagna | CHALLENGE CESENATICO SPRINT DISTANCE | https://www.myfitri.it/calendario/evento/113816
CHALLENGE CESENATICO 2026 | 09-05-2026 | Cesenatico (Forlì) | Emilia-Romagna | DUATHLON KIDS CHALLENGE CESENATICO | https://www.myfitri.it/calendario/evento/113816
CHALLENGE CESENATICO 2026 | 09-05-2026 | Cesenatico (Forlì) | Emilia-Romagna | DUATHLON YOUTH CHALLENGE CESENATICO | https://www.myfitri.it/calendario/evento/113816
